week_ending,scope,neighborhood,known_listings,no_fee_listings,pct_no_fee
2026-07-21,metro,Greater Boston,1181,1107,93.7
2026-07-21,neighborhood,Allston,95,92,96.8
2026-07-21,neighborhood,Brighton,258,248,96.1
2026-07-21,neighborhood,Fenway,192,183,95.3
2026-07-21,neighborhood,Back Bay,59,55,93.2
2026-07-21,neighborhood,Somerville,60,54,90.0
2026-07-21,neighborhood,Mission Hill,50,44,88.0
2026-07-21,neighborhood,Cambridge,64,55,85.9
