week_ending,scope,neighborhood,known_listings,no_fee_listings,pct_no_fee
2026-07-07,metro,Greater Boston,1087,1018,93.7
2026-07-07,neighborhood,Somerville,54,53,98.1
2026-07-07,neighborhood,Allston,88,84,95.5
2026-07-07,neighborhood,Brighton,257,245,95.3
2026-07-07,neighborhood,Fenway,166,157,94.6
2026-07-07,neighborhood,Back Bay,58,54,93.1
2026-07-07,neighborhood,Cambridge,59,52,88.1
