week_ending,scope,neighborhood,known_listings,no_fee_listings,pct_no_fee
2026-07-14,metro,Greater Boston,1101,1032,93.7
2026-07-14,neighborhood,Somerville,54,53,98.1
2026-07-14,neighborhood,Allston,88,84,95.5
2026-07-14,neighborhood,Brighton,260,248,95.4
2026-07-14,neighborhood,Fenway,171,162,94.7
2026-07-14,neighborhood,Back Bay,58,54,93.1
2026-07-14,neighborhood,Cambridge,61,54,88.5
