week_ending,scope,neighborhood,known_listings,no_fee_listings,pct_no_fee
2026-06-30,metro,Greater Boston,990,926,93.5
2026-06-30,neighborhood,Allston,87,83,95.4
2026-06-30,neighborhood,Brighton,244,232,95.1
2026-06-30,neighborhood,Back Bay,69,65,94.2
2026-06-30,neighborhood,Fenway,132,123,93.2
2026-06-30,neighborhood,Cambridge,60,52,86.7
