week_ending,scope,neighborhood,known_listings,no_fee_listings,pct_no_fee
2026-06-23,metro,Greater Boston,5563,4376,78.7
2026-06-23,neighborhood,Oak Square,109,98,89.9
2026-06-23,neighborhood,Boston Downtown,52,46,88.5
2026-06-23,neighborhood,Brighton,1292,1134,87.8
2026-06-23,neighborhood,Allston,630,550,87.3
2026-06-23,neighborhood,Longwood,61,52,85.2
2026-06-23,neighborhood,Jamaica Plain,76,63,82.9
2026-06-23,neighborhood,South Boston,112,91,81.3
2026-06-23,neighborhood,Back Bay,181,146,80.7
2026-06-23,neighborhood,North Brookline,137,110,80.3
2026-06-23,neighborhood,Beacon Hill,149,117,78.5
2026-06-23,neighborhood,Dorchester,73,57,78.1
2026-06-23,neighborhood,Cambridge,469,366,78.0
2026-06-23,neighborhood,Fenway,520,390,75.0
2026-06-23,neighborhood,Somerville,279,209,74.9
2026-06-23,neighborhood,Roxbury,164,120,73.2
2026-06-23,neighborhood,South End,80,57,71.3
2026-06-23,neighborhood,North End,62,44,71.0
2026-06-23,neighborhood,Chestnut Hill,60,42,70.0
2026-06-23,neighborhood,Mission Hill,215,138,64.2
2026-06-23,neighborhood,Brookline,114,73,64.0
2026-06-23,neighborhood,Corey Hill,54,33,61.1
2026-06-23,neighborhood,Coolidge Corner,91,47,51.6
2026-06-23,neighborhood,East Boston,110,45,40.9
