week_ending,scope,neighborhood,known_listings,no_fee_listings,pct_no_fee
2026-06-01,metro,Greater Boston,7157,5476,76.5
2026-06-01,neighborhood,Oak Square,137,120,87.6
2026-06-01,neighborhood,Brighton,1557,1333,85.6
2026-06-01,neighborhood,Allston,808,683,84.5
2026-06-01,neighborhood,Boston Downtown,68,57,83.8
2026-06-01,neighborhood,Longwood,78,64,82.1
2026-06-01,neighborhood,South Boston,128,104,81.3
2026-06-01,neighborhood,Aspinwall Hill,63,50,79.4
2026-06-01,neighborhood,Jamaica Plain,102,81,79.4
2026-06-01,neighborhood,Somerville,381,299,78.5
2026-06-01,neighborhood,Dorchester,85,66,77.6
2026-06-01,neighborhood,North Brookline,219,168,76.7
2026-06-01,neighborhood,Beacon Hill,235,178,75.7
2026-06-01,neighborhood,Roxbury,201,149,74.1
2026-06-01,neighborhood,Back Bay,308,227,73.7
2026-06-01,neighborhood,Cambridge,585,431,73.7
2026-06-01,neighborhood,Fenway,719,514,71.5
2026-06-01,neighborhood,Chestnut Hill,60,42,70.0
2026-06-01,neighborhood,South End,109,75,68.8
2026-06-01,neighborhood,North End,84,57,67.9
2026-06-01,neighborhood,Corey Hill,65,43,66.2
2026-06-01,neighborhood,Brookline,157,100,63.7
2026-06-01,neighborhood,Mission Hill,257,155,60.3
2026-06-01,neighborhood,Coolidge Corner,117,62,53.0
2026-06-01,neighborhood,East Boston,123,55,44.7
