week_ending,scope,neighborhood,known_listings,no_fee_listings,pct_no_fee
2026-06-16,metro,Greater Boston,6330,4970,78.5
2026-06-16,neighborhood,Oak Square,128,116,90.6
2026-06-16,neighborhood,Longwood,74,65,87.8
2026-06-16,neighborhood,Allston,706,617,87.4
2026-06-16,neighborhood,Brighton,1421,1234,86.8
2026-06-16,neighborhood,Boston Downtown,64,55,85.9
2026-06-16,neighborhood,South Boston,122,100,82.0
2026-06-16,neighborhood,Back Bay,220,179,81.4
2026-06-16,neighborhood,Aspinwall Hill,55,44,80.0
2026-06-16,neighborhood,North Brookline,164,131,79.9
2026-06-16,neighborhood,Cambridge,537,422,78.6
2026-06-16,neighborhood,Jamaica Plain,87,68,78.2
2026-06-16,neighborhood,Somerville,343,264,77.0
2026-06-16,neighborhood,Dorchester,78,60,76.9
2026-06-16,neighborhood,Beacon Hill,177,136,76.8
2026-06-16,neighborhood,North End,76,57,75.0
2026-06-16,neighborhood,Roxbury,194,144,74.2
2026-06-16,neighborhood,South End,90,66,73.3
2026-06-16,neighborhood,Fenway,593,431,72.7
2026-06-16,neighborhood,Chestnut Hill,63,43,68.3
2026-06-16,neighborhood,Brookline,135,89,65.9
2026-06-16,neighborhood,Corey Hill,63,41,65.1
2026-06-16,neighborhood,Mission Hill,251,160,63.7
2026-06-16,neighborhood,Coolidge Corner,109,57,52.3
2026-06-16,neighborhood,East Boston,123,55,44.7
