week_ending,scope,scope_value,beds,median_rent,sample_size,p25,p75
2026-05-11,metro,Greater Boston,0,2308,1098,2100,2600
2026-05-11,metro,Greater Boston,1,2750,2468,2400,3150
2026-05-11,metro,Greater Boston,2,3275,2757,2875,3850
2026-05-11,metro,Greater Boston,3,3980,1908,3495,4675
2026-05-11,metro,Greater Boston,4+,5200,1600,4400,6295
2026-05-11,neighborhood,Allston,0,2100,124,2000,2375
2026-05-11,neighborhood,Allston,1,2400,229,2325,2980
2026-05-11,neighborhood,Allston,2,3185,214,2800,3900
2026-05-11,neighborhood,Allston,3,3750,171,3385,4073
2026-05-11,neighborhood,Allston,4+,5200,223,4525,6050
2026-05-11,neighborhood,Aspinwall Hill,2,3125,27,3025,3195
2026-05-11,neighborhood,Back Bay,0,2550,118,2246,2850
2026-05-11,neighborhood,Back Bay,1,3250,115,3000,3450
2026-05-11,neighborhood,Back Bay,2,4500,51,3900,4898
2026-05-11,neighborhood,Baldwin,2,3500,21,3350,3600
2026-05-11,neighborhood,Beacon Hill,0,2400,80,2200,2556
2026-05-11,neighborhood,Beacon Hill,1,2900,86,2681,3200
2026-05-11,neighborhood,Beacon Hill,2,3630,79,3463,4000
2026-05-11,neighborhood,Boston Downtown,0,2525,24,2438,2600
2026-05-11,neighborhood,Boston Downtown,1,3075,25,2900,3399
2026-05-11,neighborhood,Brighton,0,2075,162,1995,2200
2026-05-11,neighborhood,Brighton,1,2400,442,2225,2600
2026-05-11,neighborhood,Brighton,2,2950,442,2680,3300
2026-05-11,neighborhood,Brighton,3,3625,350,3400,4000
2026-05-11,neighborhood,Brighton,4+,4800,369,4295,6000
2026-05-11,neighborhood,Brookline,1,2500,31,2200,2748
2026-05-11,neighborhood,Brookline,2,3300,58,3146,3499
2026-05-11,neighborhood,Brookline,3,4800,34,4100,4800
2026-05-11,neighborhood,Brookline,4+,6300,29,5900,7700
2026-05-11,neighborhood,Cambridgeport,2,3848,20,3469,4025
2026-05-11,neighborhood,Cambridgeport,3,4275,28,4100,4500
2026-05-11,neighborhood,Central Square,2,3950,37,3200,4330
2026-05-11,neighborhood,Chestnut Hill,1,2995,39,2795,3175
2026-05-11,neighborhood,Chestnut Hill,2,3710,38,3074,3988
2026-05-11,neighborhood,Chestnut Hill,3,5695,21,4200,6715
2026-05-11,neighborhood,Coolidge Corner,1,3100,80,2800,3500
2026-05-11,neighborhood,Coolidge Corner,2,3850,52,3606,4050
2026-05-11,neighborhood,Coolidge Corner,3,4500,30,4500,4875
2026-05-11,neighborhood,Coolidge Corner,4+,6450,20,5000,6500
2026-05-11,neighborhood,Corey Hill,1,2750,23,2250,3193
2026-05-11,neighborhood,Corey Hill,2,3195,26,3158,3249
2026-05-11,neighborhood,Dorchester,1,2505,27,2340,2998
2026-05-11,neighborhood,Dorchester,2,2800,80,2600,3295
