week_ending,scope,scope_value,beds,median_rent,sample_size,p25,p75
2026-05-14,metro,Greater Boston,0,2318,1102,2100,2600
2026-05-14,metro,Greater Boston,1,2750,2469,2400,3150
2026-05-14,metro,Greater Boston,2,3300,2801,2875,3900
2026-05-14,metro,Greater Boston,3,3995,1935,3500,4698
2026-05-14,metro,Greater Boston,4+,5200,1685,4400,6300
2026-05-14,neighborhood,Allston,0,2100,125,2000,2375
2026-05-14,neighborhood,Allston,1,2400,231,2325,2978
2026-05-14,neighborhood,Allston,2,3163,214,2800,3888
2026-05-14,neighborhood,Allston,3,3750,171,3385,4073
2026-05-14,neighborhood,Allston,4+,5200,233,4550,6200
2026-05-14,neighborhood,Aspinwall Hill,2,3125,27,3025,3195
2026-05-14,neighborhood,Back Bay,0,2550,116,2245,2850
2026-05-14,neighborhood,Back Bay,1,3300,113,3000,3450
2026-05-14,neighborhood,Back Bay,2,4400,53,3950,4800
2026-05-14,neighborhood,Baldwin,2,3450,22,3238,3596
2026-05-14,neighborhood,Beacon Hill,0,2400,80,2200,2556
2026-05-14,neighborhood,Beacon Hill,1,2900,87,2675,3200
2026-05-14,neighborhood,Beacon Hill,2,3630,79,3463,3975
2026-05-14,neighborhood,Boston Downtown,0,2525,24,2438,2600
2026-05-14,neighborhood,Boston Downtown,1,3075,25,2900,3399
2026-05-14,neighborhood,Brighton,0,2075,161,1995,2200
2026-05-14,neighborhood,Brighton,1,2400,436,2223,2600
2026-05-14,neighborhood,Brighton,2,2963,440,2690,3300
2026-05-14,neighborhood,Brighton,3,3600,356,3400,4000
2026-05-14,neighborhood,Brighton,4+,4800,395,4295,6000
2026-05-14,neighborhood,Brookline,1,2525,31,2200,2823
2026-05-14,neighborhood,Brookline,2,3300,58,3146,3499
2026-05-14,neighborhood,Brookline,3,4800,33,4400,4800
2026-05-14,neighborhood,Brookline,4+,6250,30,5600,7575
2026-05-14,neighborhood,Cambridgeport,3,4275,28,4100,4500
2026-05-14,neighborhood,Central Square,2,3975,40,3200,4289
2026-05-14,neighborhood,Chestnut Hill,1,3053,38,2795,3175
2026-05-14,neighborhood,Chestnut Hill,2,3710,38,3074,3988
2026-05-14,neighborhood,Chestnut Hill,3,5695,21,4200,6715
2026-05-14,neighborhood,Coolidge Corner,1,3100,81,2800,3500
2026-05-14,neighborhood,Coolidge Corner,2,3850,49,3625,4000
2026-05-14,neighborhood,Coolidge Corner,3,4500,32,4500,4919
2026-05-14,neighborhood,Coolidge Corner,4+,6400,21,5000,6500
2026-05-14,neighborhood,Corey Hill,1,2799,23,2250,3241
2026-05-14,neighborhood,Corey Hill,2,3195,26,3158,3249
2026-05-14,neighborhood,Dorchester,1,2503,28,2345,2996
2026-05-14,neighborhood,Dorchester,2,2850,79,2600,3295
2026-05-14,neighborhood,Dorchester,3,3350,133,3050,3600
2026-05-14,neighborhood,Dorchester,4+,3838,80,3675,4125
2026-05-14,neighborhood,East Boston,1,2375,33,2100,2650
2026-05-14,neighborhood,East Boston,2,2850,111,2600,3000
2026-05-14,neighborhood,East Boston,3,3200,25,2900,3400
2026-05-14,neighborhood,East Boston,4+,3900,25,3700,4375
2026-05-14,neighborhood,East Cambridge,1,3040,41,2815,3300
2026-05-14,neighborhood,East Cambridge,2,3950,38,3546,4700
2026-05-14,neighborhood,East Somerville,2,3250,27,2700,3800
2026-05-14,neighborhood,Fenway,0,2395,204,2249,2500
2026-05-14,neighborhood,Fenway,1,2800,279,2500,3100
2026-05-14,neighborhood,Fenway,2,3698,194,3250,4150
2026-05-14,neighborhood,Fenway,3,4995,92,4688,5505
2026-05-14,neighborhood,Harvard Square,1,3200,35,3150,3375
2026-05-14,neighborhood,Jamaica Plain,1,2500,33,2275,2650
2026-05-14,neighborhood,Jamaica Plain,2,3200,41,2900,3550
2026-05-14,neighborhood,Jamaica Plain,3,3550,54,3395,3800
2026-05-14,neighborhood,Jamaica Plain,4+,4950,52,4475,5519
2026-05-14,neighborhood,Longwood,0,2395,27,2070,2450
2026-05-14,neighborhood,Longwood,1,3075,34,2796,3188
2026-05-14,neighborhood,Medford,4+,4823,22,4025,5713
2026-05-14,neighborhood,Mid-Cambridge,1,3100,38,2725,3288
2026-05-14,neighborhood,Mid-Cambridge,2,3200,29,3000,3800
2026-05-14,neighborhood,Mission Hill,0,2138,32,1950,2263
2026-05-14,neighborhood,Mission Hill,1,2495,49,2300,2948
2026-05-14,neighborhood,Mission Hill,2,3000,53,2800,3495
2026-05-14,neighborhood,Mission Hill,3,4500,69,3900,4950
2026-05-14,neighborhood,Mission Hill,4+,6300,162,5663,6938
2026-05-14,neighborhood,Neighborhood Nine,1,2900,44,2700,3203
2026-05-14,neighborhood,Neighborhood Nine,2,3970,24,3463,4275
2026-05-14,neighborhood,North Brookline,0,2750,21,2300,2995
2026-05-14,neighborhood,North Brookline,1,2823,38,2613,3100
2026-05-14,neighborhood,North Brookline,2,3450,48,3100,3796
2026-05-14,neighborhood,North Brookline,3,4950,46,4699,5088
2026-05-14,neighborhood,North Brookline,4+,6495,57,6050,6700
2026-05-14,neighborhood,North Cambridge,2,3550,32,3188,4355
2026-05-14,neighborhood,North End,1,3100,32,2584,3563
2026-05-14,neighborhood,North End,2,3495,45,3200,3800
2026-05-14,neighborhood,North End,3,4650,21,3900,5055
2026-05-14,neighborhood,Oak Square,2,2800,20,2738,3200
2026-05-14,neighborhood,Oak Square,3,3538,66,3263,3600
2026-05-14,neighborhood,Oak Square,4+,4250,38,3950,5100
2026-05-14,neighborhood,Porter Square,1,3213,20,3000,3300
2026-05-14,neighborhood,Powder House Square,2,3400,21,3100,3700
2026-05-14,neighborhood,Riverside,1,3000,31,2838,3400
2026-05-14,neighborhood,Riverside,2,3800,33,3500,4250
2026-05-14,neighborhood,Roslindale,1,2800,20,2727,2825
2026-05-14,neighborhood,Roslindale,2,3150,29,2800,3225
2026-05-14,neighborhood,Roxbury,1,2600,20,2238,3050
2026-05-14,neighborhood,Roxbury,2,3800,94,2913,4100
2026-05-14,neighborhood,Roxbury,3,4100,100,3600,5263
2026-05-14,neighborhood,Roxbury,4+,5150,79,4188,6600
2026-05-14,neighborhood,South Boston,1,3000,50,2750,3356
2026-05-14,neighborhood,South Boston,2,4000,132,3511,4400
2026-05-14,neighborhood,South Boston,3,5100,63,4400,5875
2026-05-14,neighborhood,South Boston,4+,5800,24,5150,6200
2026-05-14,neighborhood,South End,0,2375,25,2295,2500
2026-05-14,neighborhood,South End,1,3350,65,2900,3750
2026-05-14,neighborhood,South End,2,4125,65,3600,4600
2026-05-14,neighborhood,South End,3,4825,22,4425,5194
2026-05-14,neighborhood,South Medford,4+,5850,25,4995,6000
2026-05-14,neighborhood,Spring Hill,0,2250,25,2150,2500
2026-05-14,neighborhood,Spring Hill,1,2700,32,2500,3106
2026-05-14,neighborhood,Spring Hill,2,3500,30,2888,3656
2026-05-14,neighborhood,Spring Hill,3,4150,43,3995,4600
2026-05-14,neighborhood,Spring Hill,4+,4900,20,4475,5900
2026-05-14,neighborhood,Ward Two,2,3606,30,3106,4050
2026-05-14,neighborhood,Ward Two,3,4200,30,3196,4475
2026-05-14,neighborhood,West Cambridge,1,2900,20,2735,2925
2026-05-14,neighborhood,Winter Hill,2,3100,21,2995,3475
