week_ending,scope,scope_value,beds,median_rent,sample_size,p25,p75
2026-07-21,metro,Greater Boston,0,2295,387,2095,2588
2026-07-21,metro,Greater Boston,1,2800,986,2465,3221
2026-07-21,metro,Greater Boston,2,3400,1271,2900,4000
2026-07-21,metro,Greater Boston,3,3800,867,3300,4625
2026-07-21,metro,Greater Boston,4+,4900,547,4000,5800
2026-07-21,neighborhood,Allston,0,2030,28,1961,2113
2026-07-21,neighborhood,Allston,1,2570,70,2325,2930
2026-07-21,neighborhood,Allston,2,3205,86,2863,3999
2026-07-21,neighborhood,Allston,3,3500,41,3000,3650
2026-07-21,neighborhood,Allston,4+,5200,41,4500,5800
2026-07-21,neighborhood,Back Bay,0,2625,46,2400,2844
2026-07-21,neighborhood,Back Bay,1,3288,64,3000,3813
2026-07-21,neighborhood,Back Bay,2,4450,24,3995,5238
2026-07-21,neighborhood,Beacon Hill,0,2495,25,2300,2600
2026-07-21,neighborhood,Beacon Hill,1,2950,41,2750,3300
2026-07-21,neighborhood,Beacon Hill,2,4250,21,3600,4500
2026-07-21,neighborhood,Boston Downtown,1,3350,23,3050,3975
2026-07-21,neighborhood,Brighton,0,2085,56,1995,2195
2026-07-21,neighborhood,Brighton,1,2400,105,2300,2600
2026-07-21,neighborhood,Brighton,2,2900,135,2750,3198
2026-07-21,neighborhood,Brighton,3,3800,92,3488,4500
2026-07-21,neighborhood,Brighton,4+,4900,71,4238,5225
2026-07-21,neighborhood,Cambridge,0,2313,24,2100,2600
2026-07-21,neighborhood,Cambridge,1,3075,94,2750,3400
2026-07-21,neighborhood,Cambridge,2,3700,105,3400,4250
2026-07-21,neighborhood,Cambridge,3,4450,79,3850,5300
2026-07-21,neighborhood,Cambridge,4+,5475,22,5025,10050
2026-07-21,neighborhood,Chestnut Hill,2,4670,21,4000,4990
2026-07-21,neighborhood,Chinatown,2,5035,23,4888,5313
2026-07-21,neighborhood,Coolidge Corner,0,2450,20,2099,2900
2026-07-21,neighborhood,Coolidge Corner,1,2800,61,2595,3200
2026-07-21,neighborhood,Coolidge Corner,2,3650,45,3300,3900
2026-07-21,neighborhood,Coolidge Corner,3,4600,37,4400,5000
2026-07-21,neighborhood,Coolidge Corner,4+,6050,20,5000,7000
2026-07-21,neighborhood,Dorchester,1,2500,37,2355,2950
2026-07-21,neighborhood,Dorchester,2,3000,87,2625,3400
2026-07-21,neighborhood,Dorchester,3,3300,94,3025,3500
2026-07-21,neighborhood,Dorchester,4+,3800,52,3600,4325
2026-07-21,neighborhood,East Boston,1,2600,31,2200,2848
2026-07-21,neighborhood,East Boston,2,3200,46,2800,3538
2026-07-21,neighborhood,East Boston,3,3250,24,2834,3525
2026-07-21,neighborhood,Fenway,0,2295,87,2148,2475
2026-07-21,neighborhood,Fenway,1,2850,125,2545,2995
2026-07-21,neighborhood,Fenway,2,3825,62,3363,3994
2026-07-21,neighborhood,Fenway,3,5025,20,4700,5425
2026-07-21,neighborhood,Jamaica Plain,2,3200,29,2995,3500
2026-07-21,neighborhood,Jamaica Plain,3,3500,33,3200,3800
2026-07-21,neighborhood,Jamaica Plain,4+,4700,25,4000,5200
2026-07-21,neighborhood,Mission Hill,2,3000,20,2938,3156
2026-07-21,neighborhood,Mission Hill,4+,5200,45,4995,5800
2026-07-21,neighborhood,North End,1,3200,20,2725,5024
2026-07-21,neighborhood,North End,2,4800,45,3500,5705
2026-07-21,neighborhood,Roslindale,2,2775,22,2513,3163
2026-07-21,neighborhood,Roxbury,2,2900,26,2681,3425
2026-07-21,neighborhood,Roxbury,3,3673,56,3275,4125
2026-07-21,neighborhood,Roxbury,4+,4100,20,3438,4400
2026-07-21,neighborhood,Somerville,1,2625,56,2450,2825
2026-07-21,neighborhood,Somerville,2,3300,86,2961,3638
2026-07-21,neighborhood,Somerville,3,3800,75,3600,4100
2026-07-21,neighborhood,Somerville,4+,4748,52,4250,5625
2026-07-21,neighborhood,South Boston,1,2973,38,2625,3500
2026-07-21,neighborhood,South Boston,2,3800,96,3400,4600
2026-07-21,neighborhood,South Boston,3,4650,45,4100,5995
2026-07-21,neighborhood,South Boston,4+,6200,21,5500,6350
2026-07-21,neighborhood,South End,0,2400,21,2200,2650
2026-07-21,neighborhood,South End,1,3250,40,2850,3663
2026-07-21,neighborhood,South End,2,4200,40,3800,5225
