week_ending,scope,scope_value,beds,median_rent,sample_size,p25,p75
2026-06-02,metro,Greater Boston,0,2303,1100,2100,2600
2026-06-02,metro,Greater Boston,1,2750,2602,2400,3194
2026-06-02,metro,Greater Boston,2,3325,3017,2900,3900
2026-06-02,metro,Greater Boston,3,3975,1990,3495,4700
2026-06-02,metro,Greater Boston,4+,5200,1690,4400,6295
2026-06-02,neighborhood,Allston,0,2050,125,1995,2300
2026-06-02,neighborhood,Allston,1,2450,243,2325,2950
2026-06-02,neighborhood,Allston,2,3200,230,2800,3984
2026-06-02,neighborhood,Allston,3,3725,190,3313,4084
2026-06-02,neighborhood,Allston,4+,5200,215,4550,6050
2026-06-02,neighborhood,Aspinwall Hill,2,3125,25,3075,3195
2026-06-02,neighborhood,Back Bay,0,2550,123,2325,2850
2026-06-02,neighborhood,Back Bay,1,3250,150,3000,3588
2026-06-02,neighborhood,Back Bay,2,4500,55,3875,4973
2026-06-02,neighborhood,Beacon Hill,0,2400,67,2150,2600
2026-06-02,neighborhood,Beacon Hill,1,2950,88,2700,3250
2026-06-02,neighborhood,Beacon Hill,2,3600,71,3425,4000
2026-06-02,neighborhood,Boston Downtown,0,2500,30,2400,2600
2026-06-02,neighborhood,Boston Downtown,1,3075,35,3000,3603
2026-06-02,neighborhood,Brighton,0,2095,178,1995,2238
2026-06-02,neighborhood,Brighton,1,2400,474,2250,2600
2026-06-02,neighborhood,Brighton,2,2950,451,2700,3300
2026-06-02,neighborhood,Brighton,3,3668,366,3400,4100
2026-06-02,neighborhood,Brighton,4+,4800,402,4296,5900
2026-06-02,neighborhood,Brookline,1,2500,30,2200,2771
2026-06-02,neighborhood,Brookline,2,3345,55,3150,3495
2026-06-02,neighborhood,Brookline,3,4800,31,4200,4800
2026-06-02,neighborhood,Brookline,4+,5998,28,5399,6500
2026-06-02,neighborhood,Cambridge,0,2450,84,2200,2613
2026-06-02,neighborhood,Cambridge,1,3000,301,2795,3300
2026-06-02,neighborhood,Cambridge,2,3700,325,3270,4220
