week_ending,scope,scope_value,beds,median_rent,sample_size,p25,p75
2026-06-16,metro,Greater Boston,0,2300,1123,2100,2595
2026-06-16,metro,Greater Boston,1,2750,2631,2400,3195
2026-06-16,metro,Greater Boston,2,3300,3070,2900,3900
2026-06-16,metro,Greater Boston,3,3913,2002,3450,4650
2026-06-16,metro,Greater Boston,4+,5200,1660,4400,6250
2026-06-16,neighborhood,Allston,0,2050,132,1995,2296
2026-06-16,neighborhood,Allston,1,2475,247,2325,2950
2026-06-16,neighborhood,Allston,2,3200,257,2825,4032
2026-06-16,neighborhood,Allston,3,3700,187,3300,4050
2026-06-16,neighborhood,Allston,4+,5200,212,4588,6025
2026-06-16,neighborhood,Aspinwall Hill,2,3125,26,3056,3195
2026-06-16,neighborhood,Back Bay,0,2600,117,2300,2850
2026-06-16,neighborhood,Back Bay,1,3250,146,3000,3600
2026-06-16,neighborhood,Back Bay,2,4525,56,3888,5150
2026-06-16,neighborhood,Beacon Hill,0,2400,65,2150,2650
2026-06-16,neighborhood,Beacon Hill,1,3000,90,2700,3300
2026-06-16,neighborhood,Beacon Hill,2,3575,70,3350,3996
2026-06-16,neighborhood,Boston Downtown,0,2500,30,2400,2600
2026-06-16,neighborhood,Boston Downtown,1,3100,41,3000,3650
2026-06-16,neighborhood,Brighton,0,2095,182,1995,2238
2026-06-16,neighborhood,Brighton,1,2400,469,2250,2600
2026-06-16,neighborhood,Brighton,2,2950,462,2700,3250
2026-06-16,neighborhood,Brighton,3,3675,375,3400,4100
2026-06-16,neighborhood,Brighton,4+,4800,407,4298,5825
2026-06-16,neighborhood,Brookline,1,2500,30,2200,2771
2026-06-16,neighborhood,Brookline,2,3345,53,3150,3475
2026-06-16,neighborhood,Brookline,3,4650,29,4000,4800
2026-06-16,neighborhood,Brookline,4+,5998,26,5425,6500
2026-06-16,neighborhood,Cambridge,0,2450,84,2200,2600
2026-06-16,neighborhood,Cambridge,1,3000,295,2780,3292
2026-06-16,neighborhood,Cambridge,2,3700,329,3270,4250
2026-06-16,neighborhood,Cambridge,3,4400,182,4000,4900
2026-06-16,neighborhood,Cambridge,4+,5200,89,4750,6250
2026-06-16,neighborhood,Chestnut Hill,1,3150,44,2800,3309
2026-06-16,neighborhood,Chestnut Hill,2,3710,48,2994,4425
2026-06-16,neighborhood,Chestnut Hill,4+,6500,22,6350,7800
2026-06-16,neighborhood,Chinatown,2,4933,28,4686,5198
2026-06-16,neighborhood,Coolidge Corner,0,2900,30,2324,3015
2026-06-16,neighborhood,Coolidge Corner,1,3000,103,2700,3390
2026-06-16,neighborhood,Coolidge Corner,2,3795,85,3500,4000
2026-06-16,neighborhood,Coolidge Corner,3,4775,46,4500,5200
2026-06-16,neighborhood,Coolidge Corner,4+,5950,38,5000,6500
2026-06-16,neighborhood,Corey Hill,1,2675,23,2250,3193
2026-06-16,neighborhood,Corey Hill,2,3195,20,3145,3245
2026-06-16,neighborhood,Dorchester,1,2503,44,2300,2996
2026-06-16,neighborhood,Dorchester,2,2923,110,2600,3315
