week_ending,scope,scope_value,beds,median_rent,sample_size,p25,p75
2026-06-23,metro,Greater Boston,0,2300,965,2095,2595
2026-06-23,metro,Greater Boston,1,2750,2230,2400,3200
2026-06-23,metro,Greater Boston,2,3350,2676,2900,3950
2026-06-23,metro,Greater Boston,3,3900,1776,3450,4650
2026-06-23,metro,Greater Boston,4+,5200,1361,4400,6230
2026-06-23,neighborhood,Allston,0,2050,106,1995,2280
2026-06-23,neighborhood,Allston,1,2410,184,2325,2808
2026-06-23,neighborhood,Allston,2,3200,209,2850,3995
2026-06-23,neighborhood,Allston,3,3688,148,3300,4000
2026-06-23,neighborhood,Allston,4+,5300,182,4800,6230
2026-06-23,neighborhood,Aspinwall Hill,2,3100,22,3013,3195
2026-06-23,neighborhood,Back Bay,0,2550,104,2250,2850
2026-06-23,neighborhood,Back Bay,1,3250,122,3013,3650
2026-06-23,neighborhood,Back Bay,2,4500,44,4000,4838
2026-06-23,neighborhood,Beacon Hill,0,2400,49,2150,2650
2026-06-23,neighborhood,Beacon Hill,1,2950,72,2700,3250
2026-06-23,neighborhood,Beacon Hill,2,3575,60,3350,4000
2026-06-23,neighborhood,Boston Downtown,0,2525,24,2400,2613
2026-06-23,neighborhood,Boston Downtown,1,3200,35,3000,3670
2026-06-23,neighborhood,Brighton,0,2085,164,1995,2200
2026-06-23,neighborhood,Brighton,1,2400,389,2250,2600
2026-06-23,neighborhood,Brighton,2,2950,386,2700,3295
2026-06-23,neighborhood,Brighton,3,3650,330,3413,4000
2026-06-23,neighborhood,Brighton,4+,4800,320,4295,5600
2026-06-23,neighborhood,Brookline,1,2513,26,2224,2838
2026-06-23,neighborhood,Brookline,2,3375,47,3163,3498
2026-06-23,neighborhood,Brookline,3,4595,25,4000,4800
2026-06-23,neighborhood,Brookline,4+,6000,20,5474,6975
2026-06-23,neighborhood,Cambridge,0,2500,79,2200,2676
2026-06-23,neighborhood,Cambridge,1,2990,262,2700,3274
2026-06-23,neighborhood,Cambridge,2,3750,303,3400,4250
2026-06-23,neighborhood,Cambridge,3,4398,170,3911,4900
2026-06-23,neighborhood,Cambridge,4+,5200,73,4750,6000
2026-06-23,neighborhood,Chestnut Hill,1,3170,37,2885,3320
2026-06-23,neighborhood,Chestnut Hill,2,3755,40,3221,4484
2026-06-23,neighborhood,Chinatown,2,4933,28,4686,5254
2026-06-23,neighborhood,Coolidge Corner,0,2900,28,2299,2996
2026-06-23,neighborhood,Coolidge Corner,1,3000,98,2700,3380
2026-06-23,neighborhood,Coolidge Corner,2,3701,82,3425,4000
2026-06-23,neighborhood,Coolidge Corner,3,4800,39,4500,5150
2026-06-23,neighborhood,Coolidge Corner,4+,5900,33,5000,6500
2026-06-23,neighborhood,Corey Hill,1,2799,21,2250,3200
2026-06-23,neighborhood,Dorchester,1,2500,37,2300,3000
2026-06-23,neighborhood,Dorchester,2,2775,84,2600,3200
2026-06-23,neighborhood,Dorchester,3,3350,122,3096,3600
2026-06-23,neighborhood,Dorchester,4+,3800,73,3600,4250
2026-06-23,neighborhood,East Boston,1,2400,49,2100,2800
2026-06-23,neighborhood,East Boston,2,2995,121,2650,3200
2026-06-23,neighborhood,East Boston,3,3200,29,3000,3600
2026-06-23,neighborhood,East Boston,4+,3995,23,3725,4325
2026-06-23,neighborhood,Fenway,0,2400,176,2225,2500
2026-06-23,neighborhood,Fenway,1,2850,231,2598,3150
2026-06-23,neighborhood,Fenway,2,3750,165,3300,4100
2026-06-23,neighborhood,Fenway,3,5075,66,4761,5738
2026-06-23,neighborhood,Jamaica Plain,1,2448,20,2188,2650
2026-06-23,neighborhood,Jamaica Plain,2,3200,47,2900,3600
2026-06-23,neighborhood,Jamaica Plain,3,3600,42,3361,4000
2026-06-23,neighborhood,Jamaica Plain,4+,5000,35,4150,5575
2026-06-23,neighborhood,Longwood,0,2395,23,2145,2450
2026-06-23,neighborhood,Longwood,1,3000,26,2795,3150
2026-06-23,neighborhood,Mission Hill,0,2163,24,1950,2213
