week_ending,scope,scope_value,beds,median_rent,sample_size,p25,p75
2026-06-01,metro,Greater Boston,0,2300,1957,2050,2515
2026-06-01,metro,Greater Boston,1,2750,4831,2400,3150
2026-06-01,metro,Greater Boston,2,3390,5045,2900,3926
2026-06-01,metro,Greater Boston,3,4000,2588,3495,4700
2026-06-01,metro,Greater Boston,4+,5000,1906,4400,6200
2026-06-01,neighborhood,Allston,0,2045,197,1950,2200
2026-06-01,neighborhood,Allston,1,2395,376,2250,2600
2026-06-01,neighborhood,Allston,2,3060,359,2798,3852
2026-06-01,neighborhood,Allston,3,3663,224,3300,4050
2026-06-01,neighborhood,Allston,4+,5200,234,4550,6000
2026-06-01,neighborhood,Back Bay,0,2500,207,2195,2813
2026-06-01,neighborhood,Back Bay,1,3150,269,2855,3500
2026-06-01,neighborhood,Back Bay,2,4425,102,3713,4984
2026-06-01,neighborhood,Back Bay,3,5500,24,5288,6050
2026-06-01,neighborhood,Beacon Hill,0,2300,120,2075,2500
2026-06-01,neighborhood,Beacon Hill,1,2900,156,2600,3200
2026-06-01,neighborhood,Beacon Hill,2,3563,156,3250,3950
2026-06-01,neighborhood,Beacon Hill,3,4595,25,4300,4675
2026-06-01,neighborhood,Boston Downtown,0,2500,35,2400,2600
2026-06-01,neighborhood,Boston Downtown,1,3100,41,3000,3690
2026-06-01,neighborhood,Brighton,0,2050,275,1950,2200
2026-06-01,neighborhood,Brighton,1,2395,744,2200,2600
2026-06-01,neighborhood,Brighton,2,2948,670,2700,3200
2026-06-01,neighborhood,Brighton,3,3600,432,3375,4100
2026-06-01,neighborhood,Brighton,4+,4800,430,4200,5800
2026-06-01,neighborhood,Brookline,0,2350,179,2100,2577
2026-06-01,neighborhood,Brookline,1,2995,701,2695,3260
2026-06-01,neighborhood,Brookline,2,3600,724,3245,3950
2026-06-01,neighborhood,Brookline,3,4500,343,4188,5000
2026-06-01,neighborhood,Brookline,4+,5900,227,4973,6525
2026-06-01,neighborhood,Brookline Village,2,3500,22,3100,4200
2026-06-01,neighborhood,Cambridge,0,2400,154,2150,2600
2026-06-01,neighborhood,Cambridge,1,2900,609,2600,3200
2026-06-01,neighborhood,Cambridge,2,3700,640,3250,4162
2026-06-01,neighborhood,Cambridge,3,4300,278,3800,4869
2026-06-01,neighborhood,Cambridge,4+,5100,131,4600,6199
2026-06-01,neighborhood,Charlestown,1,3172,22,3012,3229
2026-06-01,neighborhood,Charlestown,2,3900,22,3800,4750
2026-06-01,neighborhood,Chestnut Hill,2,3298,22,2606,3798
2026-06-01,neighborhood,Chinatown,1,3400,53,2675,3585
2026-06-01,neighborhood,Chinatown,2,4888,48,3784,5096
2026-06-01,neighborhood,Coolidge Corner,0,2350,78,2058,2831
2026-06-01,neighborhood,Coolidge Corner,1,3000,328,2700,3297
2026-06-01,neighborhood,Coolidge Corner,2,3650,300,3350,3961
2026-06-01,neighborhood,Coolidge Corner,3,4500,99,4350,5000
2026-06-01,neighborhood,Coolidge Corner,4+,5423,60,5000,6425
2026-06-01,neighborhood,Dorchester,1,2503,42,2335,2909
2026-06-01,neighborhood,Dorchester,2,2900,117,2600,3325
2026-06-01,neighborhood,Dorchester,3,3300,146,3000,3600
2026-06-01,neighborhood,Dorchester,4+,3800,86,3600,4238
2026-06-01,neighborhood,East Boston,1,2400,64,2100,2913
2026-06-01,neighborhood,East Boston,2,2900,151,2650,3150
2026-06-01,neighborhood,East Boston,3,3200,33,2800,3700
2026-06-01,neighborhood,East Boston,4+,3925,24,3694,4288
2026-06-01,neighborhood,Fenway,0,2400,471,2200,2538
2026-06-01,neighborhood,Fenway,1,2800,656,2590,3050
2026-06-01,neighborhood,Fenway,2,3750,367,3400,4050
2026-06-01,neighborhood,Fenway,3,5050,111,4725,5510
2026-06-01,neighborhood,Fenway,4+,7100,22,5825,7725
2026-06-01,neighborhood,Hyde Park,2,2550,21,2500,2800
2026-06-01,neighborhood,Jamaica Plain,0,2000,27,1900,2398
2026-06-01,neighborhood,Jamaica Plain,1,2500,116,2300,2700
2026-06-01,neighborhood,Jamaica Plain,2,3200,102,2863,3400
2026-06-01,neighborhood,Jamaica Plain,3,3600,64,3350,4000
2026-06-01,neighborhood,Jamaica Plain,4+,4825,54,4188,5463
2026-06-01,neighborhood,Mattapan,2,2500,20,2444,2581
2026-06-01,neighborhood,Medford,4+,4800,21,4400,5600
2026-06-01,neighborhood,Mission Hill,0,2125,33,1950,2250
2026-06-01,neighborhood,Mission Hill,1,2575,70,2400,2950
2026-06-01,neighborhood,Mission Hill,2,3000,109,2750,3195
2026-06-01,neighborhood,Mission Hill,3,4425,77,3900,4858
2026-06-01,neighborhood,Mission Hill,4+,6400,143,5550,7150
2026-06-01,neighborhood,North End,1,3200,67,2748,3583
2026-06-01,neighborhood,North End,2,3750,101,3400,4645
2026-06-01,neighborhood,North End,3,4400,23,3948,4945
2026-06-01,neighborhood,Oak Square,2,3000,23,2775,3500
2026-06-01,neighborhood,Oak Square,3,3575,64,3200,3600
2026-06-01,neighborhood,Oak Square,4+,4550,50,4000,5200
2026-06-01,neighborhood,Roslindale,1,2800,22,2425,2825
2026-06-01,neighborhood,Roslindale,2,2950,43,2575,3200
2026-06-01,neighborhood,Roxbury,1,2600,28,2200,2963
2026-06-01,neighborhood,Roxbury,2,3795,103,2800,4100
2026-06-01,neighborhood,Roxbury,3,3950,113,3475,5000
2026-06-01,neighborhood,Roxbury,4+,5000,87,4000,6000
2026-06-01,neighborhood,Seaport District,1,3373,22,3206,3609
2026-06-01,neighborhood,Seaport District,2,4363,20,4181,4556
2026-06-01,neighborhood,Somerville,0,2325,70,2175,2538
2026-06-01,neighborhood,Somerville,1,2695,201,2350,2850
2026-06-01,neighborhood,Somerville,2,3150,312,2800,3650
2026-06-01,neighborhood,Somerville,3,4050,201,3500,4400
2026-06-01,neighborhood,Somerville,4+,4950,149,4500,5500
2026-06-01,neighborhood,South Boston,0,2450,23,2150,2850
2026-06-01,neighborhood,South Boston,1,2975,88,2700,3300
2026-06-01,neighborhood,South Boston,2,3900,217,3400,4400
2026-06-01,neighborhood,South Boston,3,4800,92,4288,5125
2026-06-01,neighborhood,South Boston,4+,5500,41,4950,6350
2026-06-01,neighborhood,South End,0,2300,37,2200,2500
2026-06-01,neighborhood,South End,1,3100,168,2600,3620
2026-06-01,neighborhood,South End,2,4000,166,3500,4500
2026-06-01,neighborhood,South End,3,4950,56,4500,5500
2026-06-01,neighborhood,South Medford,4+,5850,23,4995,6148
2026-06-01,neighborhood,West End,1,3465,21,3120,3950
2026-06-01,neighborhood,West Roxbury,2,2850,53,2500,3387
