week_ending,scope,scope_value,beds,median_rent,sample_size,p25,p75
2026-06-10,metro,Greater Boston,0,2300,1109,2100,2600
2026-06-10,metro,Greater Boston,1,2750,2632,2400,3185
2026-06-10,metro,Greater Boston,2,3325,3039,2900,3913
2026-06-10,metro,Greater Boston,3,3975,1993,3495,4700
2026-06-10,metro,Greater Boston,4+,5200,1687,4400,6250
2026-06-10,neighborhood,Allston,0,2050,125,1995,2300
2026-06-10,neighborhood,Allston,1,2450,244,2325,2956
2026-06-10,neighborhood,Allston,2,3200,231,2800,3995
2026-06-10,neighborhood,Allston,3,3725,190,3313,4084
2026-06-10,neighborhood,Allston,4+,5200,215,4550,6000
2026-06-10,neighborhood,Aspinwall Hill,2,3125,25,3075,3195
2026-06-10,neighborhood,Back Bay,0,2550,122,2313,2850
2026-06-10,neighborhood,Back Bay,1,3250,150,3000,3538
2026-06-10,neighborhood,Back Bay,2,4500,52,3888,4995
2026-06-10,neighborhood,Beacon Hill,0,2400,66,2163,2600
2026-06-10,neighborhood,Beacon Hill,1,2950,88,2700,3250
2026-06-10,neighborhood,Beacon Hill,2,3600,72,3388,4000
2026-06-10,neighborhood,Boston Downtown,0,2500,31,2400,2598
2026-06-10,neighborhood,Boston Downtown,1,3075,35,3000,3508
2026-06-10,neighborhood,Brighton,0,2095,180,1995,2213
2026-06-10,neighborhood,Brighton,1,2400,476,2250,2600
2026-06-10,neighborhood,Brighton,2,2950,457,2700,3300
2026-06-10,neighborhood,Brighton,3,3668,366,3400,4100
2026-06-10,neighborhood,Brighton,4+,4800,402,4296,5900
2026-06-10,neighborhood,Brookline,1,2500,30,2200,2771
2026-06-10,neighborhood,Brookline,2,3345,55,3150,3495
2026-06-10,neighborhood,Brookline,3,4800,31,4200,4800
2026-06-10,neighborhood,Brookline,4+,5998,28,5399,6500
2026-06-10,neighborhood,Cambridge,0,2450,84,2200,2613
2026-06-10,neighborhood,Cambridge,1,3000,300,2780,3300
2026-06-10,neighborhood,Cambridge,2,3700,329,3300,4241
2026-06-10,neighborhood,Cambridge,3,4495,167,4038,4943
2026-06-10,neighborhood,Cambridge,4+,5200,83,4773,6445
2026-06-10,neighborhood,Chestnut Hill,1,3160,50,2800,3316
2026-06-10,neighborhood,Chestnut Hill,2,3710,52,3221,4484
2026-06-10,neighborhood,Chestnut Hill,4+,6500,22,5925,7200
2026-06-10,neighborhood,Chinatown,2,4933,28,4686,5198
